Order Fea Name Score
1 5512 ERCC-00002 0.258
2 5563 ERCC-00096 0.255
3 5550 ERCC-00074 0.253
4 5578 ERCC-00130 0.253
5 207 ACTB 0.244
6 5568 ERCC-00108 0.243
7 5572 ERCC-00113 0.242
8 5514 ERCC-00004 0.242
9 11339 MALAT1 0.240
10 5581 ERCC-00136 0.237
11 5602 ERCC-00171 0.236
12 5536 ERCC-00046 0.236
13 5515 ERCC-00009 0.232
14 6693 FTH1 0.232
15 6846 GAPDH 0.231
16 6696 FTL 0.226
17 19983 TMSB4X 0.222
18 1350 B2M 0.218
19 5533 ERCC-00042 0.217
20 5198 EEF1A1 0.216
21 7601 H3F3B 0.215
22 210 ACTG1 0.215
23 6585 FOS 0.214
24 5587 ERCC-00145 0.214
25 5570 ERCC-00111 0.213
26 5513 ERCC-00003 0.213
27 5534 ERCC-00043 0.213
28 4594 DDX5 0.209
29 5274 EIF1 0.206
30 3141 CD63 0.205
31 20628 UBC 0.201
32 2678 CALM2 0.201
33 8139 HSP90AB1 0.200
34 8136 HSP90AA1 0.200
35 20139 TPI1 0.200
36 3431 CFL1 0.198
37 20627 UBB 0.197
38 13029 MYL6 0.196
39 2677 CALM1 0.196
40 4160 CST3 0.196
41 545 ALDOA 0.196
42 9471 LDHB 0.195
43 20519 TUBA1A 0.194
44 4472 DBI 0.194
45 15396 PPIA 0.193
46 19686 TMBIM6 0.193
47 20520 TUBA1B 0.189
48 15752 PSAP 0.188
49 15885 PTMA 0.187
50 5522 ERCC-00022 0.184
51 16824 RPS18 0.184
52 16825 RPS19 0.184
53 8158 HSPA8 0.184
54 19919 TMEM66 0.183
55 5255 EGR1 0.182
56 16739 RPL15 0.182
57 16796 RPLP1 0.181
58 3731 CLU 0.180
59 20168 TPT1 0.180
60 5552 ERCC-00076 0.180
61 5415 ENO1 0.179
62 16787 RPL5 0.179
63 6767 GABARAP 0.179
64 1243 ATP5B 0.178
65 16726 RPL10 0.178
66 16766 RPL3 0.178
67 779 ANXA5 0.177
68 16847 RPS6 0.177
69 5561 ERCC-00092 0.177
70 7141 GNAS 0.177
71 18782 SRP14 0.176
72 21343 YWHAZ 0.176
73 16818 RPS14 0.175
74 16934 RTN3 0.175
75 13836 OAZ1 0.175
76 3947 COX4I1 0.175
77 18531 SON 0.175
78 14792 PFN1 0.174
79 7104 GLUL 0.174
80 17609 SKP1 0.173
81 17329 SERF2 0.172
82 16731 RPL13 0.172
83 7943 HMGN2 0.172
84 21234 WSB1 0.172
85 18778 SRI 0.171
86 21497 ZFP36L1 0.171
87 8679 ITM2B 0.171
88 16744 RPL19 0.170
89 16827 RPS2 0.170
90 16789 RPL7 0.170
91 5543 ERCC-00060 0.169
92 20410 TSPAN3 0.169
93 16792 RPL8 0.169
94 13268 NDUFA4 0.169
95 16819 RPS15 0.168
96 7384 GPX1 0.168
97 5077 DUSP1 0.168
98 7895 HLA-B 0.168
99 17062 SAT1 0.167
100 17864 SLC38A2 0.167
