Name Score
RPL41 0.07083446
HTRA1 0.04880219
CCL3 0.04246357
VIM 0.03175483
MTSS1 0.02544208
TMSB10 0.02536929
SNX22 0.02380181
FCGBP 0.0236345
DHRS9 0.02016988
LGALS1 0.02351054
SMOC1 0.02300615
SEC61G 0.02154462
SLC6A1 0.02251208
EGR3 0.02139621
SERF2 0.02350535
CDR1 0.02320939
ITM2B 0.02136384
NAMPT 0.02046324
RPS2 0.02102283
PLLP 0.02104725
CLDN10 0.01861506
RPL23 0.01927852
TPI1 0.01935998
MEGF11 0.0183623
CCL4 0.0181982
ATP1A2 0.01646473
ATP5E 0.01730449
OMG 0.01687926
FMNL3 0.01664353
ANXA1 0.01662903
SOX10 0.01666017
RPLP1 0.01673275
GFAP 0.0161726
PDZD2 0.01589249
LDHA 0.01639977
C3AR1 0.01635736
S100A10 0.01536639
B3GNT5 0.01552796
TNR 0.01595996
PTN 0.01544197
SPOCK1 0.01553317
BTG1 0.01544641
IPCEF1 0.01556237
HIF3A 0.01568281
GAPDH 0.01602641
C1QL2 0.0157063
RPL35 0.01597724
PLD4 0.01585968
BRI3 0.01521051
CA10 0.0151798
RPLP0 0.01500701
TNFAIP8L3 0.01473187
CD44 0.01481891
SCG3 0.01474795
RPL37A 0.01456966
ATCAY 0.01471669
GLDN 0.01475112
CHCHD2 0.014333
EHD3 0.01437348
ST6GAL1 0.01437499
GFRA1 0.01401401
TGFBI 0.01395953
RPLP2 0.01399781
CSPG4 0.01416863
IL1B 0.01410689
ANXA2 0.01432564
LRRC7 0.01388472
FABP5 0.01393332
CNTN1 0.01366736
APCDD1 0.01333187
RPS15 0.01341243
DUSP6 0.01334003
PDGFRA 0.01337679
AGXT2L1 0.0131247
PLVAP 0.01315837
NKAIN4 0.01321009
CD163 0.01310832
MYL6 0.01318793
SULF2 0.01323967
EGR2 0.01322548
IRAK2 0.01289382
EDIL3 0.01299061
RPL12 0.01299933
CX3CR1 0.01290155
HMGN2 0.01261786
HIP1R 0.01260333
TAGLN2 0.012665
GSN 0.01255637
VSTM2B 0.01247759
RPS18 0.01253355
SCD5 0.01229983
XIRP1 0.01228119
LYVE1 0.01221123
MT2A 0.0121283
CSGALNACT1 0.01215362
PDE3B 0.01178201
UBA52 0.01200779
CDK4 0.01178595
FAIM2 0.01190024
NDUFB2 0.0119889
